LossType         C       T    acc
----------  ------  ------  -----
hinge       0.05      5000   98.4
hinge       0.05     10000   88.5
hinge       0.05    100000   98.9
hinge       0.001     5000   96.4
hinge       0.001    10000   93.7
hinge       0.001   100000   95.3
hinge       0.0001    5000   86.3
hinge       0.0001   10000   73.5
hinge       0.0001  100000   71.5
exp         0.05      5000   88.4
exp         0.05     10000   96.9
exp         0.05    100000   91.5
exp         0.001     5000   91.4
exp         0.001    10000   84.6
exp         0.001   100000   94.2
exp         0.0001    5000   82.8
exp         0.0001   10000   79.5
exp         0.0001  100000   77.9
log         0.05      5000   88.1
log         0.05     10000   95.7
log         0.05    100000   98.6
log         0.001     5000   88.7
log         0.001    10000   93.6
log         0.001   100000   91.1
log         0.0001    5000   77.9
log         0.0001   10000   71.4
log         0.0001  100000   69.3
